date,open,high,low,close,volume,maket cap
2014-7-6,633.19813746,639.54700338,628.50533001,636.22783394,10099.86562306,6425815.62847128
2014-7-7,634.65927573,638.58594783,615.5544916,623.98250063,20033.65432376,12500649.72176747
2014-7-8,623.28430804,627.44450868,620.59770955,624.80387498,10291.76051079,6430331.84746722
2014-7-9,625.50086472,629.39304325,623.48358167,626.01151618,10366.79013733,6489730.01181136
2014-8-1,582.39870116,602.94907982,582.37266919,597.54112426,38899.17990149,23243859.69130581
2014-8-10,590.31973378,596.01899687,588.62126615,590.14247388,9546.34795351,5633705.39777868
2014-8-11,591.04625862,591.18184258,573.43820916,575.47175973,23211.95298634,13357823.43181101
2014-8-12,575.46677652,576.04821436,565.84098707,569.46955071,23487.08666439,13375180.69025092
2014-8-13,569.70366854,573.09509917,527.23544795,546.96090781,62147.4658548,33992234.34218622
2014-8-14,546.9256164,547.11259078,497.84182659,504.16158858,92248.59678182,46508199.09822898
2014-8-15,509.4061784,518.36829824,487.47103658,498.50512851,53237.30092881,26539067.54078924
2014-8-16,498.43670974,524.81258964,486.56170026,521.4634829,39851.29864083,20780996.98717582
2014-8-17,521.10961689,521.69381412,485.88661433,496.69345619,34028.01632932,16901493.03776906
2014-8-18,495.72047876,505.23495705,440.49513181,464.30500254,102955.25393031,47802639.43724041
2014-8-19,464.34079051,490.62097378,454.29910573,487.28075838,59822.32641177,29150268.58228074
2014-8-2,597.35687863,597.59719327,586.40131226,590.16169397,12044.90534372,7108441.74134078
2014-8-20,488.50016527,522.77594378,466.44355128,514.92585219,69099.96598874,35581358.87297915
2014-8-21,512.69338193,533.59894883,512.69338193,518.49851084,49889.90940835,25867843.73400295
2014-8-22,518.41053754,523.87076554,503.66643811,516.45438204,40042.2967892,20680019.64383863
2014-8-23,514.30367041,514.79552647,493.15859823,499.71550648,27081.34223559,13532966.65144092
2014-8-24,499.51638612,514.83662646,497.93965193,510.31244617,17837.96898151,9102937.58561286
2014-8-25,510.26495624,510.75903341,499.4325049,503.88391855,22292.91189556,11233039.80172626
2014-8-26,504.27426683,514.77060236,503.97937334,513.31158059,26607.99102224,13658189.92789036
2014-8-27,514.08090092,522.0219037,512.01045527,512.31741457,24419.66698492,12510620.65429749
2014-8-28,512.60023784,516.55192482,507.31172915,507.63864957,20482.05596827,10397483.23212369
2014-8-29,507.90184149,514.34955404,504.19809718,510.06577963,20046.24449284,10224903.32588833
2014-8-3,589.376867,590.65103901,580.3432676,585.81593076,9934.78066547,5819952.78240252
2014-8-30,510.19217684,510.19217684,500.61245736,503.16445367,13294.67697053,6689408.87453296
2014-8-31,502.4316462,504.5138126,474.52410561,476.83792154,78455.90008544,37410748.32918421
2014-8-4,587.35959812,593.97469741,584.7553699,589.69500802,16662.36877121,9825715.68624486
2014-8-5,589.68811931,590.87248279,582.40731293,584.66166645,19877.14515303,11621404.80950815
2014-8-6,584.81107241,588.18175173,581.31581901,584.57865324,20114.3229285,11758403.80847434
2014-8-7,583.89478638,592.13607383,582.83637846,588.70036058,19142.76185609,11269350.80708339
2014-8-8,588.60524201,597.46031645,588.49191923,592.02978649,16202.3346125,9592264.7013455
2014-8-9,591.50239053,591.72822663,587.62276721,589.96824366,8071.95484209,4762197.02105421
2014-9-1,478.03913188,485.4208558,471.2450998,476.64356975,27616.57293751,13163261.90907266
2014-9-10,475.60510141,489.40982306,475.32381854,480.09260375,33295.46098703,15984904.55820679
2014-9-11,480.251008,483.0164398,473.88160546,480.51415347,22845.2887602,10977484.58930426
2014-9-12,479.85129217,480.75831894,472.91985067,477.94180365,17802.06350053,8508350.33811121
2014-9-13,477.77804339,482.72094536,474.15242298,479.30256894,22125.41419425,10604767.86212575
2014-9-14,479.54347405,481.55009654,476.98474762,477.89043702,13174.59935447,6296015.04301277
2014-9-15,477.8852583,479.28980937,474.12066789,475.77917573,21008.78994356,9995544.76235301
2014-9-16,475.15396539,476.49418513,465.89280758,466.59809514,22514.51607722,10505230.31469266
2014-9-17,466.91247242,468.30132771,449.61426423,455.91688708,36432.65861593,16610264.30420793
2014-9-18,455.78312649,455.78312649,408.62293299,424.73870114,85591.88536936,36354186.2199735
2014-9-19,424.2296659,428.78511952,382.12781543,393.33111703,87795.74772404,34532799.52244092
2014-9-2,474.93262963,484.45511383,472.45672753,478.00967096,29025.42365402,13874433.21027082
2014-9-20,394.03204199,426.25221808,388.20741389,410.0575999,74386.69747076,30502830.62952938
2014-9-21,408.55388793,412.71489776,393.38855282,398.99544303,48222.00316775,19240359.51761717
2014-9-22,399.08790332,407.91555051,397.50079401,402.08292629,40118.39301454,16130920.86124196
2014-9-23,402.47844475,446.12660929,396.12260651,436.77716523,98453.67572233,43002317.38859386
2014-9-24,437.01678532,438.57515364,421.421307,423.66141682,49848.97410962,21119086.99820334
2014-9-25,424.07493528,424.53364889,408.44684741,411.05931577,45579.6248509,18735929.40417013
2014-9-26,410.61871063,415.40858373,399.23692789,405.07784024,36265.74210642,14690448.48713042
2014-9-27,404.74977455,408.55464956,399.04526153,401.57302128,21010.13760566,8437104.4358285
2014-9-28,401.67775009,403.63923357,373.90562833,377.34860022,48878.87803653,18444376.20717048
2014-9-29,376.78580134,385.78960877,371.28057644,374.96217082,59690.78347063,22381785.74834781
2014-9-3,478.36684711,483.45584623,478.14046246,479.47244397,17727.09419857,8499653.17983457
2014-9-30,375.27910061,393.99577193,372.81049418,388.74295439,57091.31588664,22193846.80802316
2014-9-4,479.40280336,495.70113896,478.53617516,490.52816548,35159.94999616,17246945.76995465
2014-9-5,491.33308093,491.43966689,482.61879858,484.10324599,19752.29568287,9562150.45591947
2014-9-6,484.22819558,490.71340248,483.90702489,487.35807549,9735.12381614,4744491.20768798
2014-9-7,488.03780465,489.78566788,482.21544389,482.65087008,9619.27705986,4642752.44249029
2014-9-8,482.21456485,482.63116114,464.88469403,473.11393531,44887.54516733,21236923.1407333
2014-9-9,473.09172024,478.31542575,466.22318698,475.32730002,31041.96114658,14755091.57914439
2015-1-1,321.09092558,321.09092558,314.90761545,315.16872872,24577.54038977,7746072.15978983
2015-1-10,289.98748052,290.21681458,275.04832381,275.44596939,82058.55734692,22602698.87482152
2015-1-11,275.14601871,280.35562385,265.4342122,266.10449045,64317.95049291,17115295.44252911
2015-1-12,266.41450103,272.53207465,265.29083271,268.654918,66503.03757922,17866368.10748172
2015-1-13,268.44661615,268.96240635,219.83558658,224.96803158,305661.97462706,68764172.76058297
2015-1-14,225.61046756,225.61046756,172.71636605,178.34854403,518235.18785137,92426491.21802922
2015-1-15,178.00563256,229.0723508,176.1466467,209.96969167,372166.15010555,78143611.78632282
2015-1-16,209.87886839,221.71571346,200.14947457,207.68017461,171733.72089542,35665689.14201419
2015-1-17,207.78953858,211.87746828,195.36080531,199.61735349,111616.11347095,22280513.17818645
2015-1-18,200.25953433,219.36358421,194.86385998,210.75472239,133502.10694895,28136199.48801883
2015-1-19,211.19165443,217.53677907,207.57344879,215.20544549,80815.99329905,17392041.84063756
2015-1-2,315.32389068,316.62988039,314.30914215,316.52712279,24157.99331027,7646660.11485482
2015-1-20,214.67694514,215.56794297,205.99346601,211.71795568,107560.95418752,22772585.33155568
2015-1-21,211.93337256,227.99124532,211.88845525,227.03025264,125023.69694602,28384161.50366284
2015-1-22,227.38767455,237.27714646,226.32259243,233.26429808,134129.68513189,31287666.85436684
2015-1-23,233.85212211,235.11334137,225.5281338,233.30917121,100826.07905721,23523648.94078972
2015-1-24,233.29074121,248.36717424,230.57832289,248.16714939,95031.90272466,23583796.39983817
2015-1-25,247.71490603,255.11477875,244.1481734,253.83932883,125799.60152462,31932886.41767546
2015-1-26,254.4353503,308.95379342,254.4353503,274.29682302,368300.46205317,101023646.65711565
2015-1-27,273.63197612,275.74241846,250.59310357,264.03273669,162312.12915418,42855715.65886376
2015-1-28,263.49859582,267.15172845,227.47597568,234.14057787,187339.13778769,43863693.97954268
2015-1-29,233.86438951,238.80235804,221.60515928,233.89381405,137433.84873063,32144927.05871128
2015-1-3,316.33728929,316.98406114,282.50586012,282.50586012,111697.5157286,31555202.75396794
2015-1-30,232.90252067,242.92081369,226.4524549,226.4524549,118267.3587444,26781933.7216971
2015-1-31,226.99332702,234.06708741,217.37104602,218.03596138,107674.61947346,23476939.17284354
2015-1-4,280.30548321,287.24516268,257.83393756,264.17123694,203600.56501327,53785413.10131078
2015-1-5,265.17999761,278.14496758,265.17999761,274.17158372,116597.06407638,31967601.71451188
2015-1-6,274.12514465,287.86354044,272.97159996,286.60596245,77554.22624303,22227503.65472872
